Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city's water supply,​Adaptation action,Action description,City Location,Country Location
58569,City of Podgorica,Podgorica,Montenegro,Europe,Public,,2017,Declining water quality,Investment in existing water supply infrastructure,"Improvement of the level of supply with quality potable water of all parts of the city. By increased urbanization and modernization of households, water consumption is increased year by year, especially in summer months when significant pressure is applied to potable water sources. With regard to that, it is necessary to perform the corresponding technical activities for improvement and maintenance of the existing infrastructure in order to ensure high-quality supply with potable water.","(42.43042, 19.259364)","(42.708678, 19.37439)"
58569,City of Podgorica,Podgorica,Montenegro,Europe,Public,,2017,Inadequate or aging infrastructure,Municipal water efficiency retrofits,"Construction of new water supply infrastructure. Citizens in settlements which are not connected to water supply network, use underground water for the needs of water supply, which they take from individual wells. Due to the abovementioned, the need arises to provide for new water supply capacities.","(42.43042, 19.259364)","(42.708678, 19.37439)"
60274,Prefeitura de Cruzeiro do Sul,Cruzeiro do Sul,Brazil,Latin America,Public,,2017,Other: Seca/Verão Amazônico,Other,"Poucas vezes o município leva água para população, através de Caminhões pipas e outras vezes a população ""compra"" água de terceiros (empresas). Mas na maioria das vezes o problema e corrigido imediatamente.","(-7.627998, -72.676149)","(-14.235004, -51.92528)"
59168,Commune de Dioudoubou,Dioudoubou,Senegal,Africa,Public,,2017,Declining water quality,Municipal water efficiency retrofits,"élimination des puits béants, extension du reseau hydraulique/ Programme municipal de rénovations améliorant l’efficacité hydraulique","(12.709511, -15.478916)","(14.497401, -14.452362)"
63607,Alcaldía de Córdoba,"Córdoba, Venezuela",Venezuela,Latin America,Public,,2017,Flooding,Other,Protección de cuencas,"(7.5447, -72.2837)","(6.42375, -66.58973)"
36261,Comune di Bolzano,Bolzano,Italy,Europe,Public,,2017,Increased water stress or scarcity,Efficiency regulations or standards,,"(46.499681, 11.356576)","(41.87194, 12.56738)"
36484,Comune di Monza,Monza,Italy,Europe,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,,"(45.831487, 9.0371)","(41.87194, 12.56738)"
31313,Dublin City Council,Dublin,Ireland,Europe,Public,,2017,Increased water stress or scarcity,Stormwater management (natural or man-made infrastructure),use of floodwater from a distant river via an attenuation reservoir for use by the city,"(53.344479, -6.270843)","(53.41291, -8.24389)"
31313,Dublin City Council,Dublin,Ireland,Europe,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,water mains rehabilitation programme,"(53.344479, -6.270843)","(53.41291, -8.24389)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni ,South Africa,Africa,Public,,2017,Increased water stress or scarcity,Efficiency regulations or standards,,"(-26.1777, 28.3462)","(-30.559482, 22.937506)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni ,South Africa,Africa,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),,"(-26.1777, 28.3462)","(-30.559482, 22.937506)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni ,South Africa,Africa,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,,"(-26.1777, 28.3462)","(-30.559482, 22.937506)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni ,South Africa,Africa,Public,,2017,Declining water quality,Watershed preservation,,"(-26.1777, 28.3462)","(-30.559482, 22.937506)"
54461,Gemeente Groningen,Groningen,Netherlands,Europe,Public,,2017,Increased water stress or scarcity,Conservation incentives,Urban water retention schemes are part of physical planning processes.,"(53.232386, 6.551335)","(52.132633, 5.291266)"
54461,Gemeente Groningen,Groningen,Netherlands,Europe,Public,,2017,Flooding,Efficiency regulations or standards,Increased buffer capacity in both surface water and sewage systems.,"(53.232386, 6.551335)","(52.132633, 5.291266)"
50665,Município de Ovar,Ovar,Portugal,Europe,Public,,2017,Flooding,Conservation awareness and education,Environmental Education Activities,"(40.89008, -8.59723)","(39.399872, -8.224454)"
49363,Nelson Mandela Bay Municipality,Nelson Mandela Bay ,South Africa,Africa,Public,,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),The city is looking at running new pipelines from other dams in the area. They have also increased water usage tariffs and are creating awareness and education programs around the drought,"(-33.745241, 25.568108)","(-30.559482, 22.937506)"
49363,Nelson Mandela Bay Municipality,Nelson Mandela Bay ,South Africa,Africa,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,The city has employed several hundred new plumbers to help improve infrastructure and reduce water losses due to leaks,"(-33.745241, 25.568108)","(-30.559482, 22.937506)"
35903,Le Grand Casablanca,Casablanca,Morocco,Africa,Public,,2017,Other: Marine intrusion in coastal areas,Other,Rainwater harvesting,"(33.520593, -7.56806)","(31.7917, -7.0926)"
35903,Le Grand Casablanca,Casablanca,Morocco,Africa,Public,,2017,Increased water stress or scarcity,Other,Rainwater harvesting/ import of water from neighbouring areas,"(33.520593, -7.56806)","(31.7917, -7.0926)"
54579,Sekhukhune District Municipality,Sekhukhune ,South Africa,Africa,Public,,2017,Declining water quality,Diversifying water supply (including new sources),harvesting of rain water and ground water,"(-24.83346, 29.974053)","(-30.559482, 22.937506)"
19233,Torres Vedras Municipality,Torres Vedras ,Portugal,Europe,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"The municipal strategy for adaptation to climate change for the municipality of Torres Vedras was completed in 2016, and includes a set of 20 adaptation options.
Adaptation option - Implement the climate change awareness and communication plan.","(38.763669, -9.30148)","(39.399872, -8.224454)"
19233,Torres Vedras Municipality,Torres Vedras ,Portugal,Europe,Public,,2017,Declining water quality,Use of non-potable water outside,"The municipal strategy for adaptation to climate change for the municipality of Torres Vedras was completed in 2016, and includes a set of 20 adaptation options.
Adaptation option - Implement the municipal water management plan.","(38.763669, -9.30148)","(39.399872, -8.224454)"
19233,Torres Vedras Municipality,Torres Vedras ,Portugal,Europe,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"The municipal strategy for adaptation to climate change for the municipality of Torres Vedras was completed in 2016, and includes a set of 20 adaptation options.
Adaptation option - Draw up a drainage plan for the city of Torres Vedras.","(38.763669, -9.30148)","(39.399872, -8.224454)"
54559,Ugu District Municipality,Ugu ,South Africa,Africa,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"Strategy is in place for Non-Revenue Water reduction, part of which is conservation awareness and education","(-30.621797, 30.251273)","(-30.559482, 22.937506)"
54575,Vhembe District Municipality,Vhembe,South Africa,Africa,Public,,2017,Declining water quality,Conservation awareness and education,Education and awareness programs,"(-22.769551, 29.974053)","(-30.559482, 22.937506)"
54575,Vhembe District Municipality,Vhembe,South Africa,Africa,Public,,2017,Increased water stress or scarcity,Water metering,Converting old system of billing by water metering,"(-22.769551, 29.974053)","(-30.559482, 22.937506)"
54575,Vhembe District Municipality,Vhembe,South Africa,Africa,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,Replacement of old infrastructure,"(-22.769551, 29.974053)","(-30.559482, 22.937506)"
60140,City of Nakuru,Nakuru,Kenya,Africa,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,including investment projects in the annual development plans of the water soctoer and sourcing for funding from donors,"(-0.303099, 36.080026)","(-0.023559, 37.906193)"
60140,City of Nakuru,Nakuru,Kenya,Africa,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,environmental education and awareness,"(-0.303099, 36.080026)","(-0.023559, 37.906193)"
60140,City of Nakuru,Nakuru,Kenya,Africa,Public,,2017,Declining water quality,Efficiency regulations or standards,collaboration with Government agencies like the kenya Water resource management Authority,"(-0.303099, 36.080026)","(-0.023559, 37.906193)"
60140,City of Nakuru,Nakuru,Kenya,Africa,Public,,2017,Water losses,Watershed preservation,conservation of watershed and biodiversity hotspot like the Mau complex,"(-0.303099, 36.080026)","(-0.023559, 37.906193)"
60207,City of Windhoek,Windhoek,Namibia,Africa,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,Various media campaigns to urge the city residents to save water and reduce their consumption.,"(-22.5609, 17.0658)","(-22.9576, 18.4904)"
54329,Bogor City Government,Bogor ,Indonesia,South Asia and Oceania,Public,,2017,Other: Source of Water Supply,Conservation incentives,"Cooperation with Bogor Regency Government, where the source of water is located, and develop alternatives source of water.","(-6.5971, 106.806)","(-6.121435, 106.774124)"
54354,City Government of Makati,Makati,Philippines,South Asia and Oceania,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"Though water supply services is privatized, the City outlines several information, education and communication interventions to educate the public (community, schools, stakeholders) on the importance of water and various conservation measures (e.g. Manila Water Toka Toka Program, Maynilad's Daloy Dunong Program, Makati City's Sanitation Month and Task Force Makati Waterways).","(14.554729, 121.024445)","(12.879721, 121.774017)"
54354,City Government of Makati,Makati,Philippines,South Asia and Oceania,Public,,2017,Declining water quality,Efficiency regulations or standards,The water concessionaire and the City Government of Makati closely coordinates with each other with water supply concerns especially of leaks problem and major/minor pipeline improvements and upgrading.,"(14.554729, 121.024445)","(12.879721, 121.774017)"
54354,City Government of Makati,Makati,Philippines,South Asia and Oceania,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"The water concessionaire and the City Government of Makati closely coordinates with each other with water supply concerns especially of leaks problem and major/minor pipeline improvements and upgrading. The City has also in place drainage management interventions (e.g. drainage upgrading, etc.)","(14.554729, 121.024445)","(12.879721, 121.774017)"
54354,City Government of Makati,Makati,Philippines,South Asia and Oceania,Public,,2017,Higher water prices,Diversifying water supply (including new sources),"The City together with the water concessionaires and the national government is working on looking for new water sources. At present, there is a proposal project on the activation of deep wells and installation of deep well monitoring stations within the Metropolitan. Other efforts identified are procurement of additional water filtration equipment, installation of water holding tanks and water reservoir within the City of Makati.","(14.554729, 121.024445)","(12.879721, 121.774017)"
